#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
1.0%	100	20.199999999999683	-375232.80731569533	59599.90235988759	-315632.9049558077	298.5763336029743	234.04965165307073	1.0211492777447446	0	0.00034308433532714844	--
2.0%	200	20.399999999999572	-374855.44116014894	60013.65314999904	-314841.7880101499	300.6490919305106	234.53933084946988	1.0190172875326184	80	0.21617817878723145	0:21
3.0%	300	20.59999999999946	-374683.1483327842	59624.83806921751	-315058.3102635667	298.7012534832547	233.67253479729163	1.0227972788897581	80.6	0.4285759925842285	0:20
4.0%	400	20.79999999999935	-374541.2395913468	59897.995989233255	-314643.24360211357	300.0696867696119	233.32981458940725	1.0242995870995406	81.6	0.635174036026001	0:20
5.0%	500	20.99999999999924	-374538.392844792	59955.60375976312	-314582.78908502887	300.35828316374676	233.35038506648343	1.0242092922788588	80.9	0.8547160625457764	0:20
6.0%	600	21.19999999999913	-374084.8910148223	59525.26876597095	-314559.62224885134	298.20244331200223	233.14056934112202	1.0251310332533652	80.3	1.0760200023651123	0:20
7.0%	700	21.399999999999018	-373832.24748619157	59317.41488644574	-314514.83259974583	297.16116225588496	233.64174122011653	1.0229320818011622	80.5	1.2882130146026611	0:19
8.0%	800	21.599999999998907	-374641.955774436	59953.217659046524	-314688.7381153895	300.3463295669226	233.1625500276617	1.0250343921594098	79.9	1.5146522521972656	0:19
9.0%	900	21.799999999998796	-374479.7407409232	59842.49119290954	-314637.2495480137	299.79162559958445	233.1310381166047	1.0251729442495006	79.9	1.7307310104370117	0:19
10.0%	1000	21.999999999998685	-374089.35888604587	59767.843810688704	-314321.51507535717	299.417666233645	232.9733412513632	1.0258668715407957	79.3	1.9609332084655762	0:19
11.0%	1100	22.199999999998575	-374817.42187594203	60717.27503035311	-314100.1468455889	304.1740111495116	233.14769224726817	1.0250997144268008	79.3	2.1802151203155518	0:19
12.0%	1200	22.399999999998464	-373972.89793340047	60145.096743453294	-313827.8011899472	301.3075820396419	233.71411071241613	1.0226153312412956	79.3	2.3968420028686523	0:19
